,stdev,numSell,exposure,drawdown,winLoss,value,zzz
0,0.5,25,0.21779141104294478,-0.045552103779189626,4.0,14863.285,0.5
1,0.75,28,0.26533742331288346,-0.06526118276967577,4.6,15642.339999999997,0.75
0,1.0,29,0.2898773006134969,-0.06236647069263392,3.8333333333333335,16695.069999999992,1.0
1,1.25,30,0.31441717791411045,-0.07318965858057609,6.5,17347.79500000001,1.25
0,1.4,32,0.3389570552147239,-0.05600939029183622,9.666666666666666,19285.359999999997,1.4
1,1.5,32,0.34202453987730064,-0.05667087643244939,9.666666666666666,19427.834999999995,1.5
0,1.6,33,0.3619631901840491,-0.07052568036406989,5.6,18694.62,1.6
1,1.75,34,0.3726993865030675,-0.07793842771292295,5.8,20193.50500000001,1.75
0,2.0,34,0.39570552147239263,-0.07316110760641864,5.8,19363.919999999995,2.0
1,2.25,36,0.41411042944785276,-0.10324115492511081,4.142857142857143,18323.330000000005,2.25
0,2.5,35,0.4233128834355828,-0.13919185163590378,4.833333333333333,18070.670000000002,2.5
