numSell,exposure,drawdown,winLoss,value,window,avgType
311,0.8441971383147854,-0.2989246976169323,0.8511904761904762,13055.312106999992,3,simple
219,0.8787758346581876,-0.284752778896186,0.8403361344537815,14632.224456000002,6,simple
166,0.9149443561208267,-0.17746461158366295,0.8241758241758241,17307.880401999973,9,simple
143,0.8990461049284578,-0.17952270995871183,1.0140845070422535,18249.924409999992,12,simple
132,0.9177265500794912,-0.1569136611926402,0.8333333333333334,17232.918942999964,15,simple
115,0.9205087440381559,-0.14363547399895585,0.9827586206896551,17509.88839200002,20,simple
87,0.9634340222575517,-0.23448945371158753,0.74,13922.52090700002,25,simple
86,0.9682034976152624,-0.1864999446379385,0.7551020408163265,15141.163105000018,30,simple
91,0.9662162162162162,-0.2633455679544701,0.8571428571428571,12467.840617000014,35,simple
82,0.9793322734499205,-0.29539484576809966,0.5185185185185185,13548.999013999995,40,simple
81,1.001987281399046,-0.22340346079389137,0.975609756097561,16263.267594,45,simple
63,1.039745627980922,-0.19559550454495953,1.25,16791.97898800001,50,simple
571,0.8171701112877583,-0.16834042365475843,1.024822695035461,15800.027003000021,3,exponential
441,0.8616852146263911,-0.24512465124201505,0.8846153846153846,12542.350133999968,6,exponential
375,0.8744038155802861,-0.25023746363568083,0.8203883495145631,13360.727167999987,9,exponential
326,0.8914944356120826,-0.2246382496282165,0.8314606741573034,13818.643258000011,12,exponential
305,0.9077901430842608,-0.2295732113720442,0.7941176470588235,13811.095586000001,15,exponential
258,0.9217011128775835,-0.3003518344449297,0.72,13315.294522999995,20,exponential
229,0.9240858505564388,-0.33901282974598473,0.6715328467153284,11853.363030000011,25,exponential
210,0.9336248012718601,-0.3578066375767385,0.627906976744186,11463.703871000018,30,exponential
191,0.9415739268680445,-0.3462308560205131,0.646551724137931,12353.858884000008,35,exponential
177,0.9471383147853736,-0.29864352968407,0.5663716814159292,12860.494185000009,40,exponential
165,0.9415739268680445,-0.27932342659042986,0.5420560747663551,13245.749832000001,45,exponential
156,0.9507154213036566,-0.26519995011961073,0.5294117647058824,13813.674654000004,50,exponential
421,0.8426073131955485,-0.17007603207066943,1.0338164251207729,14085.622985999988,3,logarithmic
246,0.8608903020667726,-0.2500332785262386,0.7956204379562044,10724.42110300002,6,logarithmic
182,0.9050079491255962,-0.23811752499783906,0.9361702127659575,15415.152195999992,9,logarithmic
149,0.9105723370429253,-0.174834093309545,0.7951807228915663,18671.839159999996,12,logarithmic
121,0.9268680445151033,-0.19435893413092814,1.0166666666666666,16076.169526999991,15,logarithmic
100,0.9383942766295708,-0.1798823719504698,1.0,16265.699348000016,20,logarithmic
83,0.9459459459459459,-0.1420486970036373,0.7659574468085106,16795.689153000014,25,logarithmic
77,0.9689984101748808,-0.14892285272700168,0.7906976744186046,15124.001057000014,30,logarithmic
69,0.9542925278219396,-0.21584034195792606,0.5,13541.390021000001,35,logarithmic
68,0.9721780604133545,-0.19106101862474836,0.5454545454545454,14405.428947999992,40,logarithmic
70,0.9868839427662957,-0.1970706853177152,0.48936170212765956,13629.660502999997,45,logarithmic
68,1.0131160572337043,-0.19378159388279698,0.6585365853658537,16002.139141000014,50,logarithmic
378,0.8465818759936407,-0.2414648610161911,0.9187817258883249,13529.59848399998,3,weighted
271,0.8732114467408585,-0.23615054602043384,0.7597402597402597,12528.60405199999,6,weighted
212,0.910174880763116,-0.2001961252680266,0.7377049180327869,16471.648752000037,9,weighted
191,0.9161367249602543,-0.26641183476777464,0.646551724137931,15554.248234999985,12,weighted
169,0.93879173290938,-0.1557160516942352,0.6407766990291263,16008.383521999991,15,weighted
147,0.9360095389507154,-0.20744297240152987,0.75,15894.319422000013,20,weighted
121,0.9459459459459459,-0.13119256473618357,0.6351351351351351,17311.929136000024,25,weighted
113,0.9511128775834659,-0.17049628209619627,0.4868421052631579,14992.261415000024,30,weighted
103,0.9578696343402225,-0.1761866916959978,0.5846153846153846,13869.100551000018,35,weighted
99,0.9562798092209857,-0.18725223167252658,0.6779661016949152,15029.26574300001,40,weighted
93,0.9630365659777425,-0.19599052068968797,0.576271186440678,14102.660121000003,45,weighted
88,0.9741653418124007,-0.19933451476815148,0.543859649122807,14271.639214000012,50,weighted
